grp_id,ctry
98093149,"USA"
98093151,"AUS"
98093151,"E"
98093151,"USA"
98149395,"USA"
98149396,"USA"
98149397,"USA"
98153094,"XR3"
98153095,"XR3"
98153096,"XR3"
98153097,"XR3"
98153098,"XR3"
98153099,"XR3"
98153100,"XR3"
98153101,"XR3"
98153102,"XR3"
98153103,"XR3"
98153104,"XR3"
98153105,"XR3"
98153106,"XR3"
98153107,"XR3"
98153108,"XR3"
98153109,"XR3"
98153110,"XR3"
98153111,"XR3"
98153178,"USA"
98153179,"USA"
98154356,"XR3"
98154357,"XR3"
98154365,"XR3"
98154366,"XR3"
98154374,"XR3"
98154375,"XR3"
98154378,"XR3"
98154379,"XR3"
98154435,"XR3"
98154436,"XR3"
98154444,"XR3"
98154445,"XR3"
98154453,"XR3"
98154454,"XR3"
98154457,"XR3"
98154458,"XR3"
98157354,"XAX"
98158297,"MWM"
98158298,"MWM"
98158299,"MWM"
98996253,"XAA"
98996254,"XAA"
98996255,"XAA"
98996256,"XAA"
98997341,"GUM"
98997341,"HWA"
98997341,"USA"
99056530,"AGL"
99056530,"AUS"
99056530,"BDI"
99056530,"BGD"
99056530,"CHN"
99056530,"COG"
99056530,"ERI"
99056530,"ETH"
99056530,"IND"
99056530,"IRN"
99056530,"JOR"
99056530,"LBN"
99056530,"LBR"
99056530,"LBY"
99056530,"MDG"
99056530,"MLI"
99056530,"PAK"
99056530,"PNG"
99056530,"SWZ"
99056530,"SYR"
99056530,"TGO"
99056530,"XSD"
99056530,"ZMB"
99056531,"XR2"
99056532,"XR3"
99056533,"XAX"
99056534,"AGL"
99056534,"AUS"
99056534,"BDI"
99056534,"BGD"
99056534,"CHN"
99056534,"COG"
99056534,"ERI"
99056534,"ETH"
99056534,"IND"
99056534,"IRN"
99056534,"JOR"
99056534,"LBN"
99056534,"LBR"
99056534,"LBY"
99056534,"MDG"
99056534,"MLI"
99056534,"PAK"
99056534,"PNG"
99056534,"SWZ"
99056534,"SYR"
99056534,"TGO"
99056534,"XSD"
99056534,"ZMB"
99056535,"XR2"
99056536,"XR3"
99056537,"XAX"
99056538,"AGL"
99056538,"AUS"
99056538,"BDI"
99056538,"BGD"
99056538,"CHN"
99056538,"COG"
99056538,"ERI"
99056538,"ETH"
99056538,"IND"
99056538,"IRN"
99056538,"JOR"
99056538,"LBN"
99056538,"LBR"
99056538,"LBY"
99056538,"MDG"
99056538,"MLI"
99056538,"PAK"
99056538,"PNG"
99056538,"SWZ"
99056538,"SYR"
99056538,"TGO"
99056538,"XSD"
99056538,"ZMB"
99056539,"XR2"
99056540,"XR3"
99056541,"XAX"
99056542,"AGL"
99056542,"AUS"
99056542,"BDI"
99056542,"BGD"
99056542,"CHN"
99056542,"COG"
99056542,"ERI"
99056542,"ETH"
99056542,"IND"
99056542,"IRN"
99056542,"JOR"
99056542,"LBN"
99056542,"LBR"
99056542,"LBY"
99056542,"MDG"
99056542,"MLI"
99056542,"PAK"
99056542,"PNG"
99056542,"SWZ"
99056542,"SYR"
99056542,"TGO"
99056542,"XSD"
99056542,"ZMB"
